<X>                    <Y>
1.121522800000000e-02  7.101707341791700e-01
1.126582800000000e-02  6.874755317821948e-01
1.131665700000000e-02  6.644535694168880e-01
1.136771600000000e-02  6.410478801691339e-01
1.141900400000000e-02  6.172166551698869e-01
1.147052400000000e-02  5.929314076825213e-01
1.152227700000000e-02  5.681804713954245e-01
1.157426300000000e-02  5.429691106160918e-01
1.162648300000000e-02  5.173188714125108e-01
1.167893900000000e-02  4.912676256543670e-01
1.173163200000000e-02  4.648703957881213e-01
1.178456300000000e-02  4.381984738110115e-01
1.183773200000000e-02  4.113392868651184e-01
1.189114100000000e-02  3.843940016656259e-01
1.194479200000000e-02  3.574774331606984e-01
1.199868400000000e-02  3.307182179298745e-01
1.205281900000000e-02  3.042542635781268e-01
1.210719900000000e-02  2.782325590805825e-01
1.216182400000000e-02  2.528082144932873e-01
1.221669600000000e-02  2.281404985632775e-01
1.227181500000000e-02  2.043925116543076e-01
1.232718200000000e-02  1.817275088750213e-01
1.238280000000000e-02  1.603062741723869e-01
1.243866800000000e-02  1.402870716876156e-01
1.249478900000000e-02  1.218201736387039e-01
1.255116300000000e-02  1.050480572956624e-01
1.260779100000000e-02  9.010162460224848e-02
1.266467400000000e-02  7.709835188407600e-02
1.272181400000000e-02  6.614002349048941e-02
1.277921200000000e-02  5.731126224246112e-02
1.283686900000000e-02  5.067750893659881e-02
1.289478700000000e-02  4.628345156148897e-02
1.295296500000000e-02  4.415202782976568e-02
1.301140600000000e-02  4.428300793554960e-02
1.307011100000000e-02  4.665272428825340e-02
1.312908000000000e-02  5.121341606826611e-02
1.318831600000000e-02  5.789353899482351e-02
1.324781800000000e-02  6.659744109454313e-02
1.330759000000000e-02  7.720709812707528e-02
1.336763100000000e-02  8.958164616122255e-02
1.342794200000000e-02  1.035597282927196e-01
1.348852600000000e-02  1.189614248837284e-01
1.354938400000000e-02  1.355892711473529e-01
1.361051500000000e-02  1.532303070358075e-01
1.367192300000000e-02  1.716606301457904e-01
1.373360800000000e-02  1.906455695407713e-01
1.379557100000000e-02  2.099440305353165e-01
1.385781300000000e-02  2.293113007995054e-01
1.392033700000000e-02  2.485028505724002e-01
1.398314200000000e-02  2.672757223327691e-01
1.404623100000000e-02  2.853942281337613e-01
1.410960500000000e-02  3.026313179115279e-01
1.417326400000000e-02  3.187720776490284e-01
1.423721100000000e-02  3.336176998933719e-01
1.430144600000000e-02  3.469867336193310e-01
1.436597100000000e-02  3.587188164356621e-01
1.443078700000000e-02  3.686762223043423e-01
1.449589500000000e-02  3.767460071675269e-01
1.456129800000000e-02  3.828416936839003e-01
1.462699500000000e-02  3.869038046946041e-01
1.469298900000000e-02  3.889013061147680e-01
1.475928000000000e-02  3.888313492088005e-01
1.482587100000000e-02  3.867192511935694e-01
1.489276200000000e-02  3.826178412731526e-01
1.495995500000000e-02  3.766062689893510e-01
1.502745100000000e-02  3.687885648743627e-01
1.509525200000000e-02  3.592915050434886e-01
1.516335800000000e-02  3.482626720295471e-01
1.523177200000000e-02  3.358670140452836e-01
1.530049400000000e-02  3.222848270787845e-01
1.536952700000000e-02  3.077074542909388e-01
1.543887100000000e-02  2.923350542935453e-01
1.550852700000000e-02  2.763722808250593e-01
1.557849900000000e-02  2.600241723209819e-01
1.564878500000000e-02  2.434946872980312e-01
1.571938900000000e-02  2.269804302327105e-01
1.579031200000000e-02  2.106694400774075e-01
1.586155400000000e-02  1.947376060172090e-01
1.593311800000000e-02  1.793449618031703e-01
1.600500500000000e-02  1.646343651795514e-01
1.607721600000000e-02  1.507289666497933e-01
1.614975200000000e-02  1.377305904011620e-01
1.622261700000000e-02  1.257181255176092e-01
1.629580900000000e-02  1.147484051636529e-01
1.636933300000000e-02  1.048539926067786e-01
1.644318700000000e-02  9.604568609605645e-02
1.651737500000000e-02  8.831164947050485e-02
1.659189800000000e-02  8.162000327132526e-02
1.666675700000000e-02  7.592025385014924e-02
1.674195400000000e-02  7.114549877673812e-02
1.681749000000000e-02  6.721518687190774e-02
1.689336700000000e-02  6.403787738318414e-02
1.696958600000000e-02  6.151443942942292e-02
1.704614900000000e-02  5.954118574264274e-02
1.712305800000000e-02  5.801318203021820e-02
1.720031300000000e-02  5.682747794341773e-02
1.727791700000000e-02  5.588609524702801e-02
1.735587100000000e-02  5.509896851495337e-02
1.743417700000000e-02  5.438644888317440e-02
1.751283600000000e-02  5.368150174316753e-02
1.759185000000000e-02  5.293142382783711e-02
1.767122100000000e-02  5.209909425540721e-02
1.775095000000000e-02  5.116369670714736e-02
1.783103800000000e-02  5.012086686001947e-02
1.791148800000000e-02  4.898225176933532e-02
1.799230000000000e-02  4.777460943429893e-02
1.807347800000000e-02  4.653820956010492e-02
1.815502100000000e-02  4.532497797544828e-02
1.823693300000000e-02  4.419592628001638e-02
1.831921400000000e-02  4.321850509336113e-02
1.840186600000000e-02  4.246346353579827e-02
1.848489100000000e-02  4.200165514811374e-02
1.856829100000000e-02  4.190074334104830e-02
1.865206700000000e-02  4.222194006271969e-02
1.873622100000000e-02  4.301689810457394e-02
1.882075500000000e-02  4.432487844184559e-02
1.890567000000000e-02  4.617025193329594e-02
1.899096800000000e-02  4.856051943221847e-02
1.907665100000000e-02  5.148484216810092e-02
1.916272100000000e-02  5.491319217176410e-02
1.924917900000000e-02  5.879611798005051e-02
1.933602700000000e-02  6.306533118179151e-02
1.942326700000000e-02  6.763487669540916e-02
1.951090000000000e-02  7.240295658115782e-02
1.959892900000000e-02  7.725460881256964e-02
1.968735500000000e-02  8.206457608367619e-02
1.977618000000000e-02  8.670103651960513e-02
1.986540600000000e-02  9.102948718740302e-02
1.995503400000000e-02  9.491688853235659e-02
2.004506700000000e-02  9.823609416444798e-02
2.013550600000000e-02  1.008699372960441e-01
2.022635300000000e-02  1.027154287145482e-01
2.031761000000000e-02  1.036874418588034e-01
2.040927800000000e-02  1.037219700651991e-01
2.050136100000000e-02  1.027787617160120e-01
2.059385800000000e-02  1.008432938572603e-01
2.068677300000000e-02  9.792778312904386e-02
2.078010700000000e-02  9.407154079697275e-02
2.087386300000000e-02  8.934018155098969e-02
2.096804100000000e-02  8.382428347658212e-02
2.106264400000000e-02  7.763664708684642e-02
2.115767400000000e-02  7.090925019405432e-02
2.125313300000000e-02  6.378926024773050e-02
2.134902200000000e-02  5.643459607278618e-02
2.144534400000000e-02  4.900876040095677e-02
2.154210100000000e-02  4.167588812530257e-02
2.163929400000000e-02  3.459550748289883e-02
2.173692600000000e-02  2.791721858982001e-02
2.183499800000000e-02  2.177621589656706e-02
2.193351300000000e-02  1.628876994823025e-02
2.203247200000000e-02  1.154891351285034e-02
2.213187800000000e-02  7.625489049291043e-03
2.223173200000000e-02  4.560549827360630e-03
2.233203700000000e-02  2.368432533476988e-03
2.243279400000000e-02  1.036163119145047e-03
2.253400600000000e-02  5.246966167058303e-04
2.263567400000000e-02  7.712896850410496e-04
2.273780100000000e-02  1.692691061475389e-03
2.284038900000000e-02  3.189119430828008e-03
2.294344000000000e-02  5.148805983072373e-03
2.304695600000000e-02  7.452929268918225e-03
2.315093900000000e-02  9.980712954823582e-03
2.325539100000000e-02  1.261445631193513e-02
2.336031400000000e-02  1.524426811392841e-02
2.346571100000000e-02  1.777230964136340e-02
2.357158300000000e-02  2.011623176386168e-02
2.367793300000000e-02  2.221191009189784e-02
2.378476200000000e-02  2.401500756144134e-02
2.389207400000000e-02  2.550165141773999e-02
2.399987000000000e-02  2.666783798842051e-02
2.410815200000000e-02  2.752796570467839e-02
2.421692200000000e-02  2.811232758903820e-02
2.432618400000000e-02  2.846381941103554e-02
2.443593800000000e-02  2.863400602198914e-02
2.454618800000000e-02  2.867884315904384e-02
2.465693500000000e-02  2.865421364055120e-02
2.476818100000000e-02  2.861160542103944e-02
2.487993000000000e-02  2.859415878912490e-02
2.499218300000000e-02  2.863333852995529e-02
2.510494200000000e-02  2.874642966399618e-02
2.521821000000000e-02  2.893503119922257e-02
