<X>                    <Y>
6.450000000000000e-03  7.011249276653071e+01
6.550000000000000e-03  6.342930310914645e+01
6.650000000000000e-03  5.928048799761102e+01
6.750000000000000e-03  5.722759578768474e+01
6.850000000000000e-03  5.686888360426173e+01
6.950000000000000e-03  5.783945600079498e+01
7.050000000000000e-03  5.981101744182588e+01
7.150000000000000e-03  6.249126984265745e+01
7.250000000000000e-03  6.562298847529802e+01
7.350000000000000e-03  6.898281108272339e+01
7.450000000000000e-03  7.237977604506581e+01
7.550000000000000e-03  7.565364592910763e+01
7.650000000000000e-03  7.867305275017462e+01
7.750000000000000e-03  8.133350081244414e+01
7.849999999999999e-03  8.355526210385210e+01
7.950000000000000e-03  8.528119794329002e+01
8.050000000000000e-03  8.647453895198936e+01
8.149999999999999e-03  8.711665349174280e+01
8.250000000000000e-03  8.720483252545196e+01
8.350000000000000e-03  8.675011645690769e+01
8.449999999999999e-03  8.577518694337245e+01
8.550000000000000e-03  8.431234399261649e+01
8.650000000000000e-03  8.240158590055648e+01
8.750000000000001e-03  8.008880679978931e+01
8.850000000000000e-03  7.742412381402283e+01
8.950000000000000e-03  7.446034308680215e+01
9.050000000000001e-03  7.125157130996369e+01
9.150000000000000e-03  6.785197684931642e+01
9.250000000000000e-03  6.431470217979667e+01
9.350000000000001e-03  6.069092712342579e+01
9.450000000000000e-03  5.702908035042220e+01
9.549999999999999e-03  5.337419477225988e+01
9.650000000000001e-03  4.976740083673469e+01
9.750000000000000e-03  4.624555033661105e+01
9.849999999999999e-03  4.284096216874608e+01
9.950000000000001e-03  3.958128052968497e+01
1.005000000000000e-02  3.648943530312125e+01
1.015000000000000e-02  3.358369387778592e+01
1.025000000000000e-02  3.087779332192932e+01
1.035000000000000e-02  2.838114172080454e+01
1.045000000000000e-02  2.609907754259650e+01
1.055000000000000e-02  2.403317612047733e+01
1.065000000000000e-02  2.218159270698121e+01
1.075000000000000e-02  2.053943205377485e+01
1.085000000000000e-02  1.909913507663174e+01
1.095000000000000e-02  1.785087386319473e+01
1.105000000000000e-02  1.678294705118855e+01
1.115000000000000e-02  1.588216842871849e+01
1.125000000000000e-02  1.513424246838756e+01
1.135000000000000e-02  1.452412138627344e+01
1.145000000000000e-02  1.403633919949371e+01
1.155000000000000e-02  1.365531912757627e+01
1.165000000000000e-02  1.336565152996146e+01
1.175000000000000e-02  1.315234038301837e+01
1.185000000000000e-02  1.300101706487012e+01
1.195000000000000e-02  1.289812092662248e+01
1.205000000000000e-02  1.283104677744621e+01
1.215000000000000e-02  1.278825999316231e+01
1.225000000000000e-02  1.275938046988145e+01
1.235000000000000e-02  1.273523708372229e+01
1.245000000000000e-02  1.270789468396422e+01
1.255000000000000e-02  1.267065594077531e+01
1.265000000000000e-02  1.261804059168751e+01
1.275000000000000e-02  1.254574478611601e+01
1.285000000000000e-02  1.245058331821017e+01
1.295000000000000e-02  1.233041756972388e+01
1.305000000000000e-02  1.218407196158032e+01
1.315000000000000e-02  1.201124164103750e+01
1.325000000000000e-02  1.181239401683916e+01
1.335000000000000e-02  1.158866660366650e+01
1.345000000000000e-02  1.134176345587277e+01
1.355000000000000e-02  1.107385226512812e+01
1.365000000000000e-02  1.078746397331540e+01
1.375000000000000e-02  1.048539651664476e+01
1.385000000000000e-02  1.017062407500986e+01
1.395000000000000e-02  9.846212957205228e+00
1.405000000000000e-02  9.515245012419417e+00
1.415000000000000e-02  9.180749225568208e+00
1.425000000000000e-02  8.845641932160900e+00
1.435000000000000e-02  8.512675880575184e+00
1.445000000000000e-02  8.184398178372783e+00
1.455000000000000e-02  7.863116986586734e+00
1.465000000000000e-02  7.550876673185202e+00
1.475000000000000e-02  7.249441005083243e+00
1.485000000000000e-02  6.960283847571512e+00
1.495000000000000e-02  6.684586750848418e+00
1.505000000000000e-02  6.423242735068362e+00
1.515000000000000e-02  6.176865537182823e+00
1.525000000000000e-02  5.945803553773680e+00
1.535000000000000e-02  5.730157702720956e+00
1.545000000000000e-02  5.529802431362276e+00
1.555000000000000e-02  5.344409118081276e+00
1.565000000000000e-02  5.173471146188409e+00
1.575000000000000e-02  5.016329971645488e+00
1.585000000000000e-02  4.872201557726488e+00
1.595000000000000e-02  4.740202608210772e+00
1.605000000000000e-02  4.619376094328979e+00
1.615000000000000e-02  4.508715637668584e+00
1.625000000000000e-02  4.407188379944415e+00
1.635000000000000e-02  4.313756039428476e+00
1.645000000000000e-02  4.227393921540428e+00
1.655000000000000e-02  4.147107716410030e+00
1.665000000000000e-02  4.071947978090789e+00
1.675000000000000e-02  4.001022237655780e+00
1.685000000000000e-02  3.933504754940269e+00
1.695000000000000e-02  3.868643960680501e+00
1.705000000000000e-02  3.805767681864055e+00
1.715000000000000e-02  3.744286278041302e+00
1.725000000000000e-02  3.683693845078725e+00
1.735000000000000e-02  3.623567665423858e+00
1.745000000000000e-02  3.563566100574952e+00
1.755000000000000e-02  3.503425132385196e+00
1.765000000000000e-02  3.442953765445537e+00
1.775000000000000e-02  3.382028503516788e+00
